plu_code,button_text,button_text_short,receipt_name,barcode,color_code,price,vat_level,product_groups
0200,Kahvilikööri 2cl,De Kuyper CremeDeCafe,De Kuyper CremeDeCafe 2cl,,#922b86,3.00,25.50,Alkoholijuomat
0009,"IPA 5,5% 0,33L","Brooklyn Defender IPA 5,5% pullo 0,33L","Brooklyn Defender IPA 5,5% pullo 0,33L",,#449c37,0.00,25.50,Alkoholijuomat
0101,Somersby Apple,"Somersby Apple 4,5% pullo 0,33L","Somersby Apple 4,5% pullo 0,33L",,#449c37,7.00,25.50,Alkoholijuomat
0207,Pisang 2cl,Text 1,De Kuyper Pisang 15%,,#e6db4e,3.00,25.50,Alkoholijuomat
0208,Wild Strawberry,Wild Strawberry,De Kuyper Wild Strawberry 15%,,#e6db4e,3.00,25.50,Alkoholijuomat
0341,Gin 4cl,Artic,Artic Gin 4cl,,#006335,6.00,25.50,Alkoholijuomat
0342,Pernod 4cl,Text 1,Pernod 4cl,,#e6db4e,6.00,25.50,Alkoholijuomat
0308,Vodka 4cl,Vodka,Vodka 4cl,,#006335,6.00,25.50,Alkoholijuomat
0211,Passoa 2cl,Passoa 2cl,Passoa 2cl,,#e6db4e,3.00,25.50,Alkoholijuomat
1454,Dippi valkosipuli,Text 1,Dippi valkosipuli,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
0105,"0,33l tölkki",Selzer KELT,"HARD Seltzer Mango & Pineapple 4,5% 0,33l",,#e6db4e,7.00,25.50,Alkoholijuomat
0750,Fariinisokeri,Fariinisokeri,Fariinisokeri,,#e6db4e,0.50,13.50,Muut tuotteet
0404,Salmari 2cl,Salmari 2cl,Salmari 2cl,,#006335,2.50,25.50,Alkoholijuomat
0209,Rasberry,Vadelma,De Kuyper Rasberry 15%,,#e6db4e,3.00,25.50,Alkoholijuomat
0312,Laphroaig 10y 4cl,Text 1,Laphroaig 10 year old single malt 4cl,,#006335,9.00,25.50,Alkoholijuomat
0313,Capt.Morgan 4cl,Captain,Captain Morgan Dark Rum 4cl,,#006335,6.00,25.50,Alkoholijuomat
0051,"5% 0,5l","Koff Long Drink 5,5% 0,5l tuoppi","Koff Long Drink 5,5% 0,5l",,#449c37,8.50,25.50,Alkoholijuomat
0053,Ananas tölkki,Ananas,Hartwall Original Long Drink Gin & Pineapple,,#449c37,7.00,25.50,Alkoholijuomat
0405,Jekku 4cl,Jekku 4cl,Jägermeister 4cl,,#006335,5.00,25.50,Alkoholijuomat
0345,Fernet Branca 4cl,Fernetti,Fernet Branca 4cl,,#006335,6.00,25.50,Alkoholijuomat
0346,Artic Blue 4cl,GIN,Artic Blue Gin 4cl,,#006335,7.50,25.50,Alkoholijuomat
0213,Bailey's,4cl,Bailey's The Original Irish Cream 17%,,#006335,6.00,25.50,Alkoholijuomat
0347,Kyrö Napue Gin 4cl,Text 1,Kyrö Napue Gin 4cl,,#006335,9.50,25.50,Alkoholijuomat
0820,Kuohari piccolo,pullo,Jacob's Creek kuohuviini 11% 200ml,,#449c37,9.00,25.50,Alkoholijuomat
0344,Fernet Branca 2cl,Text 1,Fernet Branca 2cl,,#006335,2.50,25.50,Alkoholijuomat
0830,Aperol Spritz 4cl,Text 1,Aperol Spritz 4cl,,#449c37,3.00,25.50,Alkoholijuomat
0348,Jaloviina Kaski 4cl,Text 1,Jaloviina Kaski 4cl,,#006335,6.00,25.50,Alkoholijuomat
0821,Text 2,Text 1,Jacob's Creek kuohuviini 11% 200ml Aperol Spritz paukkuun,,#449c37,7.50,25.50,Alkoholijuomat
0054,Cranberry Long Drink,Text 1,Koff Long Drink Cranberry 5.5% 0.33l tölkki,,#449c37,7.00,25.50,Alkoholijuomat
1201,TACO JAUHELIHA,TÄYTE,taco-maustettu jauheliha,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
0015,Corona pullo,Text 1,Corona Extra 4.5% 0.33l pullo,,#449c37,7.00,25.50,Alkoholijuomat
1222,MOZZARELLA,TÄYTE,mozzarella,,#922b86,2.20,13.50,Ruoka lisukkeet yms.
0055,Pink Grapefruit,Text 1,Koff Long Drink Pink Grapefruit 5.5% 0.33l tölkki,,#449c37,7.00,25.50,Alkoholijuomat
1283,TUPLAJUUSTO,TÄYTE,Tuplajuusto,,#922b86,2.20,13.50,Ruoka lisukkeet yms.
0218,Butterscotch 2cl,Text 1,Butterscotch 2cl,,#449c37,3.00,25.50,Alkoholijuomat
0205,Triple Sec 2cl,Text 1,De Kuyper Triple Sec 40%,Triple Sec 2cl,#006335,3.60,25.50,Alkoholijuomat
0204,Cremedementhe,2cl,De Kuyper Cremedementhe 24%,,#e6db4e,3.00,25.50,Alkoholijuomat
0206,Pisang 2cl,Text 1,De Kuyper Pisang 15%,,#e6db4e,3.00,25.50,Alkoholijuomat
2001,24%,Avoin,Avoin myynti 24%,,#e6db4e,0.00,25.50,Muut tuotteet
0349,Tequila 4cl,Tequila,Tequila 4cl,,#006335,6.00,25.50,Alkoholijuomat
1301,Kansimies,2,Kansimies,,#922b86,15.90,13.50,"Ruoka annokset,Pizzat"
1309,Barlastilaine,10,Barlastilaine,,#922b86,15.50,13.50,"Ruoka annokset,Pizzat"
0013,"0,4l hana",Hana,"Brooklyn Pilsner 0,4l hana",,#449c37,7.00,25.50,Alkoholijuomat
0106,"0,33l hana",Dry Apple,Crowmoor,,#449c37,6.80,25.50,Alkoholijuomat
0107,"0,5l hana",Dry Apple,"Crowmoor Dry Apple 5.5% 0,5l hana",,#449c37,8.50,25.50,Alkoholijuomat
0003,"4,6% 0,33l pullo","Karhu III, 4,6%, 0,33l pullo","Karhu III, 4,6%, 0,33l pullo",,#449c37,6.20,25.50,Alkoholijuomat
0005,"5% 0,5l tuoppi","1664 Blanc 5%, hana","1664 Blanc 5%, hana",,#449c37,8.00,25.50,Alkoholijuomat
0004,"5,3%, 0,33l pullo","Karhu IV, 5,3%, 0,33l pullo","Karhu IV, 5,3%, 0,33l pullo",,#449c37,6.50,25.50,Alkoholijuomat
0002,"4,6% 0,4l tuoppi","Karhu III, 4,6% 0,4l hana","Karhu III, 4,6% 0,4l hana",,#449c37,7.10,25.50,Alkoholijuomat
0006,"4,7%, 0,5l pullo","Sandels 4,7%, 0,5l pullo","Sandels 4,7%, 0,5l pullo",,#449c37,7.00,25.50,Alkoholijuomat
0007,"4,7%, 0,33l pullo","Sandels 4,7%, 0,33l pullo","Sandels 4,7%, 0,33l pullo",,#449c37,6.00,25.50,Alkoholijuomat
0102,Somersby Blackberry,"Somersby Blackberry 4,5% pullo 0,33L","Somersby Blackberry 4,5% pullo 0,33L",,#449c37,7.00,25.50,Alkoholijuomat
0103,"4,7% tölkki 0,5L","Crowmoor Dry Apple 4,7% tölkki 0,5L","Crowmoor Dry Apple 4,7% tölkki 0,5L",,#449c37,7.00,25.50,Alkoholijuomat
0150,Breezer Orange,"Breezer Orange 4% pullo 0,275L","Breezer Orange 4% pullo 0,275L",,#449c37,8.00,25.50,Alkoholijuomat
0151,Breezer Strawberry,"Breezer Strawberry 4% pullo 0,275L","Breezer Strawberry 4% pullo 0,275L",,#449c37,8.00,25.50,Alkoholijuomat
0152,Breezer Watermelon,"Breezer Watermelon 4% 0,275L","Breezer Watermelon 4% 0,275L",,#449c37,8.00,25.50,Alkoholijuomat
0153,Passion Mango,"Breezer Passion Mango 4% pullo 0,275L","Breezer Passion Mango 4% pullo 0,275L",,#449c37,8.00,25.50,Alkoholijuomat
0001,"4,6% 0,5l tuoppi","Karhu III, 4,6% 0,5l hana","Karhu III, 4,6% 0,5l hana",,#449c37,7.60,25.50,Alkoholijuomat
0011,"Räpsöö 0,5l tuoppi","Karhu III, 4,6% 0,5l hana","Karhu III, 4,6% 0,5l hana",,#449c37,6.60,25.50,Alkoholijuomat
2500,1 yö,Huone,Huone 1 yö,,#e6db4e,60.00,25.50,Majatalo
0202,Blueberry 2cl,Blueberry,De Kuyper Blueberry 15% 2cl,,#e6db4e,3.00,25.50,Alkoholijuomat
0406,Fireball 4cl,4cl,Fireball 33%,,#006335,6.50,25.50,Alkoholijuomat
0305,Minttu Black 4cl,Text 1,Minttu Black 4cl,,#e6db4e,6.00,25.50,Alkoholijuomat
0304,Minttu Black 2cl,Text 1,Minttu Black 2cl,,#e6db4e,3.00,25.50,Alkoholijuomat
0306,Minttu 4cl,Text 1,Minttu 4cl,,#006335,6.00,25.50,Alkoholijuomat
0307,Minttu 2cl,Text 1,Minttu 2cl,,#006335,3.00,25.50,Alkoholijuomat
0309,Vodka 2cl,Text 1,Vodka 2cl,,#006335,3.00,25.50,Alkoholijuomat
0301,Kossu 2cl,Text 1,Koskenkorvan Viina 2cl 38%,,#e6db4e,3.00,25.50,Alkoholijuomat
0310,Jameson 40% 4cl,Text 1,Jameson 40% 4cl,,#006335,6.00,25.50,Alkoholijuomat
0311,Jameson 40% 2cl,Text 1,Jameson 40% 2cl,,#e6db4e,3.00,25.50,Alkoholijuomat
0201,SourApple 2cl,SourApple,De Kuyper SourApple 15%,,#e6db4e,3.00,25.50,Alkoholijuomat
0203,Kaakaolikööri 2cl,CREMEDECACAO,De Kuyper CREMEDECACAO 20%,,#e6db4e,3.00,25.50,Alkoholijuomat
0016,"4,0l torni",Karhu,"Karhu III 4,0l torni",,#449c37,44.00,25.50,Alkoholijuomat
0214,Campari 4cl,Text 1,Campari 25% 4cl,,#449c37,6.50,25.50,Alkoholijuomat
0215,Campari 2cl,Text 1,Campari 25% 2cl,,#449c37,3.25,25.50,Alkoholijuomat
0216,Vermutti 4cl,Text 1,Vermouth Rosso 14.7% 4cl,,#449c37,6.00,25.50,Alkoholijuomat
0350,Artic Gin 2cl,Text 1,Artic Gin 2cl,,#006335,2.50,25.50,Alkoholijuomat
0351,Artic Blue Gin 2cl,Text 1,Artic Blue Gin 2cl,,#006335,3.75,25.50
0352,Kyrö Napue Gin 2cl,Text 1,Kyrö Napue Gin 2cl,,#006335,3.75,25.50,Alkoholijuomat
0217,Vermouth 2cl,Text 1,Vermouth Rosso 14.7% 2cl,,#449c37,3.00,25.50,Alkoholijuomat
0407,Tequila 4cl,Text 1,Tequila 4cl,,#006335,5.00,25.50,Alkoholijuomat
0017,Guinness,Guinness,"Guinness Draught Stout 4.2%, 0,44l tölkki",,#449c37,9.00,25.50,Alkoholijuomat
0803,Punaviini 13.5% 0.75l,Text 1,Jacob's Creek Grenache Shiraz 13.5% 0.75l,,#e6db4e,28.50,25.50,Alkoholijuomat
0408,Tervalikööri 4cl,Text 1,Shaman's tervalikööri 4cl,,#006335,2.50,25.50,Alkoholijuomat
0801,Puna 13.5% 187ml,tex,Jacob's Creek Organic Shiraz Cabernet 13.5% 187ml,,#e6db4e,9.50,25.50,Alkoholijuomat
1530,RULLAKEBAB,Text 1,Rullakebab aurajuustolla,,#e6db4e,16.90,25.50,Ruoka annokset
0613,"Jaffa 0,5l",Text 1,"Jaffa 0,5l",,#e6db4e,4.00,25.50,Alkoholittomat juomat
1320,Pizza Slice,Pizza Slice,Pizza Slice,,#922b86,4.50,25.50,Ruoka annokset
0018,Lätkäolut,Text 1,Lätkäolut,,#e6db4e,5.50,25.50
0410,Lätkäshotti,Text 1,Lätkäshotti,,#e6db4e,4.00,25.50,Alkoholijuomat
99999,Kanelipulla,Pulla,Kanelipulla,,#e6db4e,2.00,13.50,Ruoka lisukkeet yms.
0019,"5,3% 0,33l plo",Sandels,"Sandels 5,3% 0,33l plo",,#e6db4e,6.50,25.50,Alkoholijuomat
0999,"Avoin 25,5%","Avoin 25,5%","Avoin 25,5%",,#e6db4e,0.00,25.50,Muut tuotteet
0020,"0,5l Karhu III",Räpsöö,Räpsöö bisse,,#e6db4e,6.60,25.50,Alkoholijuomat
0409,Jallubutteri,Text 1,Jallubutteri,,#006335,6.00,25.50,Alkoholijuomat
9000,Pekka Tiilikainen,Lippu,Pekka Tiilikainen & Beatmakers,,#c20020,10.00,10.00
0104,"0,33l tölkki",Seltzer PUN,"HARD Seltzer Strawberry & Rhubarb 4,5% 0,33l",,#c20020,7.00,25.50,Alkoholijuomat
0056,Long drink 0.0%,Text 1,Hartwall Original Long drink 0.0% 0.33l tölkki,,#e6db4e,7.00,25.50,Alkoholijuomat
0100,Somersby Pear,"Somersby Pear 4,5% pullo 0,33L","Somersby Pear 4,5% pullo 0,33L",,#449c37,7.00,25.50,Alkoholijuomat
0210,Galliano 2cl,Galliano,Galliano 2cl,,#e6db4e,3.00,25.50,Alkoholijuomat
0802,"Valkoviini 11%, 0.7l",Text 1,"Jacob's Creek Riesling 11%, 0.7l",,#e6db4e,28.50,25.50,Alkoholijuomat
0800,Valkkari 12% 187ml,text,Jacob's Creek Semillon Chardonnay 12% 187ml,,#e6db4e,9.50,25.50,Alkoholijuomat
0500,Mixeri,Text 1,Mixeri,,#449c37,3.00,13.50,Alkoholittomat juomat
0552,Limu pieni,Text 1,Limu pieni,,#e6db4e,3.00,13.50,Alkoholittomat juomat
0501,Mixeri Battery,Text 1,Mixeri Battery,,#e6db4e,3.50,13.50,Alkoholittomat juomat
0600,"Battery tölkki 0,33l",Text 1,"Battery tölkki 0,33l",,#e6db4e,5.00,13.50,Alkoholittomat juomat
0553,Limu iso,Text 1,Limu iso,,#e6db4e,4.50,13.50,Alkoholittomat juomat
0502,Mixeri soda,Text 1,Mixeri soda,,#e6db4e,2.00,13.50,Alkoholittomat juomat
0503,Mixeri maito,Text 1,Mixeri maito,,#e6db4e,2.50,13.50,Alkoholittomat juomat
1313,Matruusi,14,Matruusi,,#922b86,16.50,13.50,"Ruoka annokset,Pizzat"
1522,Mozzatikut 5kpl,Mozzarellatikut,Mozzarellatikut 5kpl,,#922b86,6.50,13.50,Ruoka annokset
1521,Jalapeno Poppers,Jalapeno Poppers,Jalapeno Poppers 5kpl,,#922b86,6.50,13.50,Ruoka annokset
1520,Sipulirenkaat 7kpl,Sipuli,Sipulirenkaat,,#922b86,6.50,13.50,Ruoka annokset
1503,Lohkoperunat,Text 1,Lohkoperunat,,#922b86,7.50,13.50,Ruoka annokset
1531,Kebab perunat,Kebab,Kebab perunat,,#922b86,13.50,13.50,Ruoka annokset
1285,KIRSIKKATOMAATTI,TÄYTE,Kirsikkatomaatti,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
0108,Somarsby Apple 0.0%,Somarsby Apple 0.0%,Somarsby Apple 0.0%,,#006335,6.00,13.50,Alkoholittomat juomat
0703,Chili Nuts,Taffel,Taffel Chili Nuts 150g,,#e6db4e,4.00,13.50,Ruoka lisukkeet yms.
0700,original,Pringles,Pringles 70g original,,#e6db4e,4.50,13.50,Ruoka lisukkeet yms.
0504,Mixeri kahvi,KAHVI,Mixeri kahvi,,#e6db4e,2.00,13.50,Alkoholittomat juomat
0505,Kerma,MIXERI,Mixeri kerma,,#e6db4e,2.00,13.50,Alkoholittomat juomat
1706,Cornetto Mansikka,Text 1,Cornetto Mansikka,,#24c2c9,2.70,13.50,Jäätelöt
1708,Suklaarouhe&Kinuski,Text 1,Soft Suklaarouhe & Kinuski,,#24c2c9,3.40,13.50,Jäätelöt
1709,Lipsi Vadelma,Text 1,Lipsi Vadelma,,#24c2c9,2.10,13.50,Jäätelöt
1707,Soft Keksi & Suklaa,Text 1,Soft Keksi & Suklaa,,#24c2c9,3.40,13.50,Jäätelöt
1401,Wings 15kpl,Wings,Hot Wings 15kpl,,#922b86,15.90,13.50,Ruoka annokset
0506,Mixeri mustikka,Mixeri,Mixeri mustikka,,#449c37,2.50,13.50,Alkoholittomat juomat
1204,KEBAB,TÄYTE,kebab,,#922b86,2.20,13.50,Ruoka lisukkeet yms.
1203,SALAMI,TÄYTE,salami,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
1205,PEPPERONI,TÄYTE,pepperoni,,#922b86,2.20,13.50,Ruoka lisukkeet yms.
1206,KINKKU,TÄYTE,kinkku,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
1200,JAUHELIHA,TÄYTE,jauheliha,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
1207,PEKONI,TÄYTE,pekoni,,#922b86,2.20,13.50,Ruoka lisukkeet yms.
1202,KANA,TÄYTE,KANA,,#922b86,2.20,13.50,Ruoka lisukkeet yms.
1220,FETA,TÄYTE,feta,,#922b86,2.20,13.50,Ruoka lisukkeet yms.
1221,AURA,TÄYTE,aura,,#922b86,2.20,13.50,Ruoka lisukkeet yms.
0014,Heineken 0.0%,Text 1,"Heineken 0.0% 0,33l tölkki",,#e6db4e,6.00,13.50,Alkoholijuomat
01315,Henkilökunta,Pizza,Henkilökunta pizza,,#922b86,10.00,13.50,Ruoka annokset
1223,mustaleima,TÄYTE,mustaleima,,#922b86,2.00,13.50,Ruoka lisukkeet yms.
1224,maidoton juusto,TÄYTE,maidoton juusto,,#922b86,2.00,13.50,Ruoka lisukkeet yms.
1240,KATKARAPU,TÄYTE,katkarapu,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
1241,TONNIKALA,TÄYTE,tonnikala,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
1242,SIMPUKKA,TÄYTE,simpukka,,#922b86,2.20,13.50,Ruoka lisukkeet yms.
1260,HERKKUSIENI,TÄYTE,herkkusieni,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
1261,PUNASIPULI,TÄYTE,punasipuli,,#922b86,1.10,13.50,Ruoka lisukkeet yms.
1284,VS MAJONEESI,TÄYTE,Valkosipulimajoneesi,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
1262,ANANAS,TÄYTE,ananas,,#922b86,1.10,13.50,Ruoka lisukkeet yms.
1263,PERSIKKA,TÄYTE,persikka,,#922b86,1.10,13.50,Ruoka lisukkeet yms.
1264,SUOLAKURKKU,TÄYTE,suolakurkku,,#922b86,1.10,13.50,Ruoka lisukkeet yms.
1265,JALAPENO,TÄYTE,jalapeno,,#922b86,1.10,13.50,Ruoka lisukkeet yms.
1266,OLIIVI,TÄYTE,oliivi,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
1267,TURKINPIPPURI,TÄYTE,turkinpippuri,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
2000,Avoin myynti 14%,ALV 14%,Avoin myynti 14%,,#e6db4e,0.00,13.50,Muut tuotteet
1268,RUCOLA,TÄYTE,rucola,,#922b86,1.10,13.50,Ruoka lisukkeet yms.
1280,VALKOSIPULI,TÄYTE,valkosipuli,,#922b86,0.00,13.50,Ruoka lisukkeet yms.
1281,OREGANO,TÄYTE,oregano,,#922b86,0.00,13.50,Ruoka lisukkeet yms.
1300,Luotsipizza,1,Luotsipizza,,#922b86,15.90,13.50,"Ruoka annokset,Pizzat"
1302,Trukkikuski,3,Trukkikuski,,#922b86,16.50,13.50,"Ruoka annokset,Pizzat"
1282,GLUTEENITON,POHJA,Gluteeniton pohja,,#922b86,2.60,13.50,Ruoka lisukkeet yms.
1303,Nosturimies,4,Nosturimies,,#922b86,17.90,13.50,"Ruoka annokset,Pizzat"
1304,Manttelimies,5,Manttelimies,,#922b86,16.50,13.50,"Ruoka annokset,Pizzat"
1305,Merikapteeni,6,Merikapteeni,,#922b86,15.90,13.50,"Ruoka annokset,Pizzat"
1306,Kalastaja,7,Kalastaja,,#922b86,18.50,13.50,"Ruoka annokset,Pizzat"
1307,Räpsööläinen,8,Räpsööläinen,,#922b86,17.50,13.50,"Ruoka annokset,Pizzat"
1308,Mexicano,9,Mexicano,,#922b86,16.50,13.50,"Ruoka annokset,Pizzat"
1310,Ahtaaja,11,Ahtaaja,,#922b86,17.50,13.50,"Ruoka annokset,Pizzat"
1311,Kasvispizza,12,Kasvispizza,,#922b86,16.00,13.50,"Ruoka annokset,Pizzat"
1312,Konemestari,13,Konemestari,,#922b86,16.00,13.50,"Ruoka annokset,Pizzat"
1314,4 täytettä,15,4 täytettä omavalintainen,,#922b86,16.50,13.50,"Ruoka annokset,Pizzat"
1315,5 täytettä,16,5 täytettä oman valintasi mukaan,,#922b86,17.50,13.50,"Ruoka annokset,Pizzat"
1700,Kingis puikko,Text 1,Kingis Original jäätelö 53g,,#24c2c9,3.20,13.50,Jäätelöt
1269,PAPRIKA,TÄYTE,paprika,,#922b86,1.10,13.50,Ruoka lisukkeet yms.
1701,Fazer Geisha,Tuutti,Fazer Geisha kermajäätelötuutti,,#24c2c9,3.50,13.50,Jäätelöt
0556,Kahvi kuppi,KAHVI,Kahvi kuppi,,#e6db4e,2.50,13.50,Alkoholittomat juomat
1702,Suklaapilvi,Text 1,Pingviini tuutti 67g suklaapilvi,,#24c2c9,3.40,13.50,Jäätelöt
1703,Kuningatar,Text 1,Pingviini tuutti 67g kuningatar,,#24c2c9,3.40,13.50,Jäätelöt
1704,Daim tuutti,Text 1,Daim tuutti,,#24c2c9,4.40,13.50,Jäätelöt
1705,Jättis tuutti,Text 1,Jättis tuutti 96g vanilija,,#24c2c9,3.95,13.50,Jäätelöt
1400,Wings 10kpl,Wings,Hot Wings 10kpl,,#922b86,12.90,13.50,Ruoka annokset
1403,Wings 25kpl,Wings,Hot Wings 25kpl,,#922b86,20.90,13.50,Ruoka annokset
1402,Wings 20kpl,Wings,Hot Wings 20kpl,,#922b86,19.50,13.50,Ruoka annokset
1450,Dippi Aura,Text 1,Dippi Aura,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
1451,Dippi valkosipuli,Text 1,Dippi valkosipuli,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
1452,Dippi paprika,Text 1,Dippi paprika,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
1453,Dippi Remoulade,Text 1,Dippi Remoulade,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
1500,Lankkuperunat,Text 1,Lankkuperunat,,#922b86,7.50,13.50,Ruoka annokset
1501,Ristikkoperunat,Text 1,Ristikkoperunat,,#922b86,7.50,13.50,Ruoka annokset
0558,Granini 0.25l,Granini 0.25l,Granini 0.25l,,#e6db4e,3.00,13.50,Alkoholittomat juomat
0701,paprika,Pringles,Pringles 70g paprika,,#e6db4e,4.50,13.50,Ruoka lisukkeet yms.
0702,sour cream & onion,Pringles,Pringles 70g sour cream & onion,,#e6db4e,4.50,13.50,Ruoka lisukkeet yms.
0557,Soda Lasi,Soda,Sodavesi lasi,,#e6db4e,2.00,13.50,Alkoholittomat juomat
1523,Kanakori,Text 1,Kanakori,,#922b86,13.50,13.50,Ruoka annokset
0560,Mehukatti 2dl,Text 1,Mehukatti Trip 2dl,,#e6db4e,1.50,13.50
1502,Bataatti ranet,Text 1,Bataatti ranskalaiset,,#922b86,7.50,13.50,Ruoka annokset
1455,dippi Mangoraja,Text 1,Mangoraja dippi,,#922b86,1.60,13.50,Ruoka lisukkeet yms.
0601,testi,Text 1,Red Bull testi,,#e6db4e,5.00,13.50,Alkoholittomat juomat
0602,Red Bull tölkki,Text 1,Red Bull 250ml tölkki,,#e6db4e,5.00,13.50,Alkoholittomat juomat
1318,Metsämiehen,Kausi,Metsämiehen erikoinen,,#922b86,17.90,13.50,"Ruoka annokset,Pizzat"
0610,"Fanta 1,5l",Text 1,"Fanta Appelsiini 1,5l",,#e6db4e,5.50,13.50,Alkoholittomat juomat
0611,"Sprite 1,5l",Text 1,"Sprite 1,5l",,#e6db4e,5.50,13.50,Alkoholittomat juomat
0612,"Coca Cola 0,5l",Text 1,"Coca Cola 0,5l",,#e6db4e,4.00,13.50,Alkoholittomat juomat
0614,"Fanta 0,5l",Text 1,"Fanta 0,5l",,#e6db4e,4.00,13.50,Alkoholittomat juomat
0559,"Coca Cola 1,5l","1,5l","Coca Cola 1,5l plo",,#e6db4e,5.50,13.50,Alkoholittomat juomat
0554,"Maito lasi 0,3l",Text 1,Maitolasi,,#e6db4e,2.50,13.50,Alkoholittomat juomat
0555,"Tuoremehu 0,3l",Text 1,Tuoremehulasi,,#e6db4e,3.00,13.50,Alkoholittomat juomat
1541,Kahvi+Sämpylä,Text 1,Sämpylä + kahvi,,#e6db4e,6.90,13.50
0565,kahvi+munkki,VAPPU,Vappukahvi + munkki,,#e6db4e,1.00,13.50,Ruoka lisukkeet yms.
1540,Sämpylä,Text 1,Sämpylä,,#e6db4e,5.90,13.50,Ruoka annokset
1532,Currywurst,Text 1,Currywurst,,#922b86,12.90,13.50,Ruoka annokset
0561,RÄPSÖÖ,KAHVI,Räpsöö kahvi,,#e6db4e,2.00,13.50,Alkoholittomat juomat
1542,+ TORTTU,KAHVI,Kahvi + leivonnainen,,#e6db4e,6.00,13.50,Ruoka lisukkeet yms.
